Red Subset,Blue Subset,Sum,TimeFound
"(8381842, 4890524, 4681945, 8022348, 4443234, 9323386, 8541011, 3696206, 8534543, 1966247)","(5992875, 1425045, 8081143, 8546532, 9356134, 7956588, 4446344, 1728483, 7451212, 7496930)",62481286,1727845286.4629507
"(9469287, 6712289, 1425045, 8081143, 1779814, 9222657, 5363473, 7956588, 3696206, 4446344, 7496930, 1966247)","(4681945, 8022348, 6483223, 4443234, 8546532, 8224679, 9323386, 9356134, 8534543)",67616023,1727846005.5789213
"(1271334, 6712289, 2455118, 8081143, 8546532, 9222657, 9323386)","(8381842, 4890524, 1425045, 6192770, 8224679, 8541011, 7956588)",45612459,1727846020.423024
"(6192770, 4443234, 8546532, 9356134, 7956588, 7496930, 1966247)","(6712289, 8381842, 1425045, 8022348, 8541011, 3696206, 1728483, 7451212)",45958435,1727847055.7262928
"(1271334, 6712289, 1425045, 4681945, 8022348, 6192770, 4443234, 8546532, 8224679, 9323386, 8534543, 4446344)","(9469287, 2455118, 5992875, 4890524, 6483223, 8081143, 5363473, 8541011, 9356134, 1728483, 7496930, 1966247)",71824449,1727847157.569842
"(6712289, 1425045, 8224679, 9222657, 8541011, 7956588, 3696206, 1728483)","(9469287, 5992875, 4681945, 6483223, 6192770, 9323386, 5363473)",47506958,1727849613.9685361
"(6712289, 1425045, 6483223, 4443234, 8224679, 9356134, 7496930)","(1271334, 5992875, 4681945, 8022348, 8546532, 5363473, 8534543, 1728483)",44141534,1727850550.1434093
"(1271334, 2455118, 5992875, 4890524, 1425045, 4681945, 6483223, 6192770, 8546532, 8541011, 3696206, 7496930, 1966247)","(8381842, 8022348, 8224679, 9222657, 9356134, 8534543, 4446344, 7451212)",63639760,1727852173.0856602
"(8381842, 4890524, 8081143, 1779814, 8546532, 9222657, 5363473, 8534543)","(6712289, 2455118, 1425045, 6483223, 4443234, 8224679, 3696206, 4446344, 7451212, 7496930, 1966247)",54800528,1727854007.4566908
"(5992875, 1425045, 8022348, 6192770, 1779814, 4443234, 9323386, 5363473, 4446344, 1728483)","(6712289, 2455118, 4890524, 4681945, 6483223, 8546532, 7451212, 7496930)",48717772,1727855019.877109
